id,name,age,height,weight,income
1,Person 1,50,1.58,88.9,16350
2,Person 2,55,1.55,54.9,70674
3,Person 3,22,1.86,89.9,77372
4,Person 4,68,1.87,72.5,75380
5,Person 5,23,1.78,54.2,87634
6,Person 6,55,1.89,63.0,10218
7,Person 7,67,1.61,86.4,29490
8,Person 8,51,1.83,61.9,65136
9,Person 9,54,1.74,62.9,47976
10,Person 10,48,1.7,70.9,69704
11,Person 11,29,1.82,65.4,88569
12,Person 12,43,1.96,78.2,41806
13,Person 13,39,1.5,63.3,82486
14,Person 14,55,1.94,65.9,82007
15,Person 15,60,1.81,73.5,86695
16,Person 16,27,1.53,81.6,57100
17,Person 17,45,1.63,50.5,85027
18,Person 18,23,1.65,73.6,26437
19,Person 19,21,1.99,53.0,77997
20,Person 20,59,1.74,88.1,74325
